                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0796,                0.66997,                0.93846,                0.96854,                0.98499,                0.99247,                0.71779,                0.98637,                0.58673,                0.90964,             0.00013344,             0.00013344,             0.00013344
                     34,                 1.0592,                0.65968,                0.92426,                0.96854,                0.98499,                0.99247,                0.71779,                0.98637,                0.58673,                0.90964,             0.00013344,             0.00013344,             0.00013344
                     35,                 1.1288,                0.70571,                0.96093,                0.96101,                0.97831,                0.99245,                0.72029,                0.96236,                0.54654,                0.90349,             0.00012582,             0.00012582,             0.00012582
                     36,                 1.1597,                0.71467,                0.95378,                0.96101,                0.97831,                0.99245,                0.72029,                0.96236,                0.54654,                0.90349,              0.0001182,              0.0001182,              0.0001182
                     37,                 1.0949,                0.67136,                0.95281,                0.96101,                0.97831,                0.99245,                0.72029,                0.96236,                0.54654,                0.90349,             0.00011057,             0.00011057,             0.00011057
                     38,                 1.0832,                0.64735,                0.90977,                0.95831,                0.98002,                0.99267,                0.72608,                0.93679,                0.53214,                0.89595,             0.00010295,             0.00010295,             0.00010295
                     39,                 1.0123,                0.66066,                0.91096,                0.95831,                0.98002,                0.99267,                0.72608,                0.93679,                0.53214,                0.89595,             9.5326e-05,             9.5326e-05,             9.5326e-05
                     40,                 1.0641,                0.66622,                0.91205,                0.96609,                0.98507,                0.99353,                 0.7332,                 0.9245,                0.50936,                0.89217,             8.7703e-05,             8.7703e-05,             8.7703e-05
                     41,                 1.0209,                0.62249,                 0.9318,                0.96609,                0.98507,                0.99353,                 0.7332,                 0.9245,                0.50936,                0.89217,              8.008e-05,              8.008e-05,              8.008e-05
                     42,                 1.0209,                0.60701,                0.96872,                0.96609,                0.98507,                0.99353,                 0.7332,                 0.9245,                0.50936,                0.89217,             7.2457e-05,             7.2457e-05,             7.2457e-05
                     43,                 1.0779,                 0.5979,                0.93216,                0.98094,                0.98575,                0.99406,                0.73392,                0.92109,                0.49584,                0.88819,             6.4834e-05,             6.4834e-05,             6.4834e-05
                     44,                 1.0073,                0.58169,                0.91382,                0.98094,                0.98575,                0.99406,                0.73392,                0.92109,                0.49584,                0.88819,             5.7211e-05,             5.7211e-05,             5.7211e-05
                     45,                0.98048,                0.60145,                0.89957,                0.98094,                0.98575,                0.99406,                0.73392,                0.92109,                0.49584,                0.88819,             4.9588e-05,             4.9588e-05,             4.9588e-05
                     46,                 1.0483,                0.58916,                0.92983,                0.98301,                0.99059,                0.99445,                0.73489,                0.92271,                0.49721,                0.88636,             4.1965e-05,             4.1965e-05,             4.1965e-05
                     47,                  1.037,                0.61163,                0.96435,                0.98301,                0.99059,                0.99445,                0.73489,                0.92271,                0.49721,                0.88636,             3.4342e-05,             3.4342e-05,             3.4342e-05
                     48,                0.96022,                0.58217,                0.91923,                0.98328,                0.98895,                0.99459,                0.73815,                0.91859,                 0.4883,                 0.8849,             2.6719e-05,             2.6719e-05,             2.6719e-05
                     49,                0.98528,                0.56475,                0.93622,                0.98328,                0.98895,                0.99459,                0.73815,                0.91859,                 0.4883,                 0.8849,             1.9096e-05,             1.9096e-05,             1.9096e-05
